State,County Name,#hospital,hospital_rating
AK,ANCHORAGE,3,2.6666666666666665
AK,BETHEL,1,3.0
AK,FAIRBANKS NORTH STAR,1,3.0
AK,JUNEAU,1,3.0
AK,KETCHIKAN GATEWAY,1,3.0
AK,MATANUSKA SUSITNA,1,3.0
AL,AUTAUGA,1,4.0
AL,BALDWIN,3,3.0
AL,BARBOUR,1,3.0
AL,BLOUNT,1,3.0
AL,BULLOCK,1,3.0
AL,BUTLER,2,3.0
AL,CALHOUN,3,2.6666666666666665
AL,CHEROKEE,1,4.0
AL,CLARKE,2,3.0
AL,CLAY,1,3.0
AL,COFFEE,1,3.0
AL,COLBERT,2,2.5
AL,CONECUH,1,3.0
AL,COVINGTON,2,2.5
AL,CRENSHAW,1,3.0
AL,CULLMAN,1,3.0
AL,DALE,1,4.0
AL,DALLAS,1,3.0
AL,DE KALB,1,3.0
AL,ELMORE,2,3.5
AL,ESCAMBIA,2,3.0
AL,ETOWAH,2,2.5
AL,FAYETTE,1,4.0
AL,FRANKLIN,1,3.0
AL,GENEVA,1,3.0
AL,GREENE,1,3.0
AL,HOUSTON,2,3.5
AL,JACKSON,1,3.0
AL,JEFFERSON,7,2.7142857142857144
AL,LAUDERDALE,1,2.0
AL,LAWRENCE,1,4.0
AL,LEE,1,4.0
AL,LIMESTONE,1,2.0
AL,MADISON,2,3.0
AL,MARENGO,1,3.0
AL,MARION,2,4.5
AL,MARSHALL,1,3.0
AL,MOBILE,4,2.25
AL,MONROE,1,3.0
AL,MONTGOMERY,3,3.6666666666666665
AL,MORGAN,1,2.0
AL,PICKENS,1,3.0
AL,PIKE,1,3.0
AL,RANDOLPH,1,4.0
AL,RUSSELL,1,4.0
AL,SAINT CLAIR,1,3.0
AL,SHELBY,1,3.0
AL,TALLADEGA,2,3.0
AL,TALLAPOOSA,2,3.0
AL,TUSCALOOSA,1,2.0
AL,WALKER,1,3.0
AL,WINSTON,1,5.0
AR,ARKANSAS,1,4.0
AR,ASHLEY,1,3.0
AR,BAXTER,1,3.0
AR,BENTON,3,3.6666666666666665
AR,BOONE,1,3.0
AR,BRADLEY,1,4.0
AR,CARROLL,1,3.0
AR,CHICOT,1,3.0
AR,CLARK,1,3.0
AR,CLEBURNE,1,3.0
AR,COLUMBIA,1,2.0
AR,CRAIGHEAD,2,2.0
AR,CRAWFORD,1,3.0
AR,CROSS,1,4.0
AR,DESHA,1,3.0
AR,DREW,1,3.0
AR,FAULKNER,1,3.0
AR,FULTON,1,2.0
AR,GARLAND,2,2.0
AR,GREENE,1,2.0
AR,HEMPSTEAD,1,3.0
AR,HOT SPRING,1,3.0
AR,HOWARD,1,3.0
AR,INDEPENDENCE,1,2.0
AR,JEFFERSON,1,2.0
AR,JOHNSON,1,3.0
AR,MISSISSIPPI,1,2.0
AR,OUACHITA,1,4.0
AR,PHILLIPS,1,2.0
AR,POLK,1,3.0
AR,POPE,1,3.0
AR,PULASKI,8,2.75
AR,RANDOLPH,1,3.0
AR,SAINT FRANCIS,1,2.0
AR,SALINE,1,3.0
AR,SEBASTIAN,2,2.5
AR,STONE,1,3.0
AR,UNION,1,3.0
AR,VAN BUREN,1,3.0
AR,WASHINGTON,2,3.0
AR,WHITE,1,3.0
AR,YELL,1,3.0
AZ,APACHE,1,3.0
AZ,COCHISE,1,1.0
AZ,COCONINO,2,3.5
AZ,GILA,2,3.0
AZ,GRAHAM,1,3.0
AZ,LA PAZ,1,3.0
AZ,MARICOPA,27,3.1481481481481484
AZ,MOHAVE,4,2.25
AZ,NAVAJO,1,4.0
AZ,PIMA,7,2.5714285714285716
AZ,PINAL,4,3.0
AZ,YAVAPAI,2,3.0
AZ,YUMA,1,2.0
CA,ALAMEDA,12,2.5
CA,AMADOR,1,2.0
CA,BUTTE,4,2.5
CA,CALAVERAS,1,3.0
CA,CONTRA COSTA,7,3.0
CA,DEL NORTE,1,2.0
CA,EL DORADO,2,3.5
CA,FRESNO,5,2.2
CA,HUMBOLDT,2,3.0
CA,IMPERIAL,2,2.0
CA,KERN,8,1.875
CA,KINGS,1,2.0
CA,LAKE,2,2.5
CA,LASSEN,1,4.0
CA,LOS ANGELES,73,2.9315068493150687
CA,MADERA,1,2.0
CA,MARIN,3,3.3333333333333335
CA,MENDOCINO,3,3.3333333333333335
CA,MERCED,2,2.5
CA,MONTEREY,4,3.75
CA,NAPA,2,3.0
CA,NEVADA,1,3.0
CA,ORANGE,20,2.85
CA,PLACER,3,4.0
CA,PLUMAS,1,3.0
CA,RIVERSIDE,16,2.4375
CA,SACRAMENTO,8,2.75
CA,SAN BENITO,1,2.0
CA,SAN BERNARDINO,14,2.5
CA,SAN DIEGO,15,3.466666666666667
CA,SAN FRANCISCO,9,2.7777777777777777
CA,SAN JOAQUIN,7,2.4285714285714284
CA,SAN LUIS OBISPO,3,3.3333333333333335
CA,SAN MATEO,6,3.1666666666666665
CA,SANTA BARBARA,5,3.6
CA,SANTA CLARA,9,2.7777777777777777
CA,SANTA CRUZ,2,3.5
CA,SHASTA,2,3.5
CA,SISKIYOU,2,3.0
CA,SOLANO,4,2.75
CA,SONOMA,6,3.3333333333333335
CA,STANISLAUS,4,2.5
CA,TEHAMA,1,3.0
CA,TULARE,3,2.3333333333333335
CA,TUOLUMNE,1,3.0
CA,VENTURA,7,2.7142857142857144
CA,YOLO,2,3.5
CA,YUBA,1,1.0
CO,ADAMS,3,2.6666666666666665
CO,ALAMOSA,1,3.0
CO,ARAPAHOE,3,3.6666666666666665
CO,BOULDER,4,3.25
CO,BROOMFIELD,1,4.0
CO,DELTA,1,3.0
CO,DENVER,5,3.6
CO,DOUGLAS,3,3.3333333333333335
CO,EAGLE,1,4.0
CO,EL PASO,2,3.5
CO,FREMONT,1,4.0
CO,GARFIELD,2,3.5
CO,HUERFANO,1,3.0
CO,JEFFERSON,2,3.5
CO,LA PLATA,1,5.0
CO,LARIMER,3,3.6666666666666665
CO,LOGAN,1,3.0
CO,MESA,2,3.0
CO,MONTEZUMA,1,3.0
CO,MONTROSE,1,4.0
CO,MORGAN,2,3.0
CO,OTERO,1,3.0
CO,PITKIN,1,4.0
CO,PROWERS,1,3.0
CO,PUEBLO,2,4.0
CO,RIO GRANDE,1,3.0
CO,ROUTT,1,4.0
CO,SUMMIT,1,4.0
CO,WELD,1,4.0
CO,YUMA,1,3.0
CT,FAIRFIELD,6,2.5
CT,HARTFORD,6,2.5
CT,LITCHFIELD,2,2.5
CT,MIDDLESEX,1,3.0
CT,NEW HAVEN,7,2.7142857142857144
CT,NEW LONDON,2,3.5
CT,TOLLAND,2,3.0
CT,WINDHAM,2,3.0
DC,DISTRICT OF COLUMBIA,7,1.4285714285714286
DE,KENT,1,3.0
DE,NEW CASTLE,2,4.0
DE,SUSSEX,3,3.6666666666666665
FL,ALACHUA,2,2.5
FL,BAY,2,3.0
FL,BRADFORD,1,3.0
FL,BREVARD,7,3.2857142857142856
FL,BROWARD,14,2.642857142857143
FL,CHARLOTTE,3,2.3333333333333335
FL,CITRUS,2,2.0
