RegionName,State,2015,2016,2017,2018,2019
Abbeville County, SC,767004,784608,806699,830005,863808
Acadia Parish, LA,2221748,2129069,2199610,2305649,2344430
Accomack County, VA,1278779,1289594,1334752,1362729,1387093
Ada County, ID,20616748,21526009,23235647,25155399,26437103
Adair County, MO,796107,799495,805826,825384,845216
Adair County, OK,622634,617755,631933,639054,655351
Adair County, IA,340816,330599,346693,373624,395152
Adair County, KY,560527,560965,586240,604408,625004
Adams County, WA,851315,778867,777473,820406,867839
Adams County, OH,884497,898413,929522,958121,976876
Adams County, PA,4549269,4621403,4798471,4986055,5169186
Adams County, ID,138824,146346,148702,159563,167629
Adams County, MS,1027954,1008988,1013501,1061410,1091522
Adams County, ND,104691,102618,113224,110160,111181
Adams County, IA,263012,236768,219708,222337,240193
Adams County, NE,1491330,1458223,1472323,1529191,1580666
Adams County, IN,1253980,1272094,1343609,1415020,1451991
Adams County, WI,719263,731108,753036,789553,825798
Adams County, IL,2845676,2879336,2959446,3076377,3134202
Adams County, CO,18858350,19693041,20808816,22266329,23532735
Addison County, VT,1711806,1750790,1827795,1889631,1947948
Aiken County, SC,6420190,6594701,6901807,7236010,7577925
Aitkin County, MN,561339,575343,599458,636698,656519
Alachua County, FL,10358312,10793553,11426032,12112889,12561561
Alamance County, NC,5789896,6022761,6287496,6650506,6982583
Alameda County, CA,104465851,111930943,119446412,128728021,135663560
Alamosa County, CO,562497,561869,580723,620071,650547
Albany County, NY,17152729,17165486,18352368,18590359,19258333
Albany County, WY,1510695,1484884,1511032,1596613,1660085
Alcona County, MI,357233,362704,378652,400949,427116
Alcorn County, MS,1210649,1227398,1274126,1330580,1352198
Aleutians East Borough, AK,168157,194476,202467,193686,208687
Aleutians West CA, AK,304788,318028,304928,317467,326816
Alexander County, NC,1240564,1253397,1329299,1371872,1410711
Alexander County, IL,214834,212606,212490,214127,217324
Alexandria City, VA,12726366,13076029,13521086,14260187,14665740
Alfalfa County, OK,248932,207008,206786,218517,224180
Alger County, MI,284135,285983,292176,304925,311797
Allamakee County, IA,621335,612202,618836,648540,683603
Allegan County, MI,4591724,4727041,4941714,5236004,5424323
Allegany County, MD,2677429,2746585,2781988,2836602,2919020
Allegany County, NY,1532534,1528777,1591150,1611599,1666839
Alleghany County, NC,375917,385233,394816,411684,428934
Allegheny County, PA,67594849,68331413,72070682,77567629,79996554
Allen County, OH,4008896,4075760,4219071,4373564,4481729
Allen County, KS,465152,460373,470980,497069,533888
Allen Parish, LA,749348,773855,808011,856508,887814
Allen County, IN,15630703,15973264,16488087,17474148,18055369
Allen County, KY,628485,639088,671289,682416,700865
Allendale County, SC,258198,266500,280430,290379,291759
Alpena County, MI,1075726,1097562,1123725,1143252,1186856
Alpine County, CA,76307,79010,77214,78472,81463
Amador County, CA,1541827,1591543,1666554,1744925,1825410
Amelia County, VA,538155,538795,554838,565008,582287
Amherst County, VA,1086751,1108210,1138048,1176794,1206192
Amite County, MS,385179,386111,413560,427934,432248
Anchorage Muny, AK,19050699,18556144,18779233,19546730,20201781
Anderson County, SC,6988801,7269643,7616755,8007522,8339294
Anderson County, KY,812352,837396,860427,888447,923105
Anderson County, TN,2911228,2998486,3082265,3203493,3313490
Anderson County, TX,1849562,1897701,1905727,1992181,2080020
Anderson County, KS,297696,309482,295141,303000,330401
Andrew County, MO,711139,728983,758656,766260,807553
Andrews County, TX,823040,721346,799794,914535,968334
Androscoggin County, ME,4076838,4126462,4267389,4464983,4652478
Angelina County, TX,3340362,3260829,3270511,3376844,3437761
Anne Arundel County, MD,34594658,35658932,36978814,38605051,39987570
Anoka County, MN,16024168,16443252,17278150,18049807,18649149
Anson County, NC,832790,814808,857760,867908,887558
Antelope County, NE,330644,332031,303159,319783,346045
Antrim County, MI,973312,996380,1036885,1078097,1116169
Apache County, AZ,2181212,2230338,2349669,2457889,2529614
Appanoose County, IA,446746,447863,463964,478649,497035
Appling County, GA,585322,587321,614529,630958,652960
Appomattox County, VA,546789,558422,580295,606925,624797
Aransas County, TX,1167729,1098079,1157811,1176609,1213451
Arapahoe County, CO,34360320,35274663,36810160,40350053,42334967
Archer County, TX,407851,404684,419638,431531,447617
Archuleta County, CO,487425,514642,543667,583298,604478
Arenac County, MI,511152,529862,541203,567009,580565
Arkansas County, AR,766398,800145,791485,806018,837563
Arlington County, VA,19829709,20392728,21513502,22866336,23543694
Armstrong County, TX,82312,83032,86121,98086,100807
Armstrong County, PA,2660770,2665179,2803672,2951807,3037717
Aroostook County, ME,2564410,2596055,2699428,2798794,2896014
Arthur County, NE,27619,22064,21098,21239,22666
Ascension Parish, LA,5563662,5662550,5895627,6168395,6415138
